,Topic,Subject,Question,Answer
560,Unidad de Procesamiento Gráfico (GPU),Graphics Processing Unit (GPU),What is a piece of computer equipment used for processing data?,A graphics processing unit (GPU) is a piece of computer equipment that is used for processing data.
561,Bot,Bot,What is a computer program that can perform repetitive tasks?,A robot is a computer program capable of performing repetitive tasks.
562,Metaverso,Metaverse,Farai Sevenzo looks at the future of what type of technology?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at the future of metaverse technology."
563,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data and other users' data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local) and other users' data."
564,Ciencia de datos,Data science,What is a branch of science that deals with the analysis of large amounts of data?,Data Science is a branch of science that deals with the analysis of large amounts of data.
565,Test de Turing,Test the Turing,What test did DeepMind pass?,"An artificial intelligence (AI) called DeepMind has passed the Turing Test for the first time, the BBC reports."
566,Unidad de Procesamiento Gráfico (GPU),Graphics Processing Unit (GPU),What is a piece of computer equipment that is used to process data called?,A graphics processing unit (GPU) is a piece of computer equipment that is used to process data.
567,Aprendizaje federado,Federated learning,What is a technique that allows to train an algorithm in a way?,"Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), and only shares this model with other users."
568,Realidad aumentada,Augmented reality,What does AR stand for?,Augmented Reality (AR) and Virtual Reality (VR) are two of the hottest technologies in the world of technology.
569,Grafo,Grafo,Which branch of mathematics deals with the relationship between information and people?,Graph theory is a branch of mathematics that deals with the relationship between information and people.
570,Tabla Hash,Hash Table,"What is a data structure that relates a value called ""key"" to one or more other elements?","A Hash Table is a data structure that relates a value called ""key"" to one or more other Elements."
571,Realidad aumentada,Augmented reality,What does AR stand for?,Augmented Reality (AR) and Virtual Reality (VR) are two of the newest technologies in the world of technology.
572,Autoencoder,Autoencoder,What is the name of the type of artificial neural network that is divided into two parts?,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoder
573,Prolog,Prologue,In what language will we learn how to solve a factorial with two Facts and a Rule?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in the Prolog language.
574,Bot,Bot,What is a computer program capable of performing repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet or simulates the behaviour that a person would have, doing the same thing but automatically."
575,Árbol,Tree,In this course we will learn how to use what to solve computer science problems?,In this course we are going to learn how to use a tree to solve some common problems in computer science.
576,Modelos generativos,Generative models,What type of models are an important part of machine learning?,Generative models are an important part of machine learning.
577,Modelo,Model,What do we show how to train to predict the likelihood of a given outcome?,"In this paper, we show how to train an artificial intelligence (AI) model to predict the likelihood of a given outcome."
578,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern in data.,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern in data."
579,Internet de las Cosas (IoT),Internet of Things (IoT),What does Ahmedou Ould-Abdallah call the internet of things?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things is changing the way we live."
580,Máquina de Turing,Turing Machine,What is a formal model of computation?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of doing this theoretical model).
581,Modelo,Model,This paper describes how to train an AI model that can predict the outcome of a clinical trial?,This paper describes how to train an artificial intelligence (AI) model that can predict the outcome of a clinical trial.
582,Modelos generativos,Generative models,What are an important part of artificial intelligence research?,Generative models are an important part of artificial intelligence research.
583,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are two types of data structures that are used in Blockchain technology?,Hash Trees and Merkle Trees are two types of data structures that are used in Blockchain technology.
584,Autoencoder,Autoencoder,What is a type of artificial neural network?,Autoencoders are a type of artificial neural network that are used to learn encodings from unlabelled data.
585,Computación Ecológica,Green Computing,What refers to computing that makes responsible use of resources?,Green Computing refers to computing that makes responsible use of resources.
586,Árbol de decisión,Decision tree,What does Ahmed Rashid look at in his letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of decision."
587,Tabla Hash,Hash Table,What is a data structure that relates a value called 'key' to one or more other elements?,"A Hash Table is a data structure that relates avalue called ""key"" to one or more other elements."
588,Agente inteligente,Intelligent agent,What type of agent has one thing in common?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all have one thing in common - they all have"
589,Modelo,Model,What do we show how to train to predict the outcome of a problem?,"In this paper, we show how to train an artificial intelligence (AI) model to predict the outcome of a problem."
590,Variables dummy,Variables dummy,What is a variable called that can be created when the original variable cannot be used?,A Dummy Variable is a variable that can be created when the original variable cannot be used.
591,Computación Ecológica,Green Computing,What is the name of the report that Research and Markets has added?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing-research) has announced the addition of the ""Green Computing"" report to their offering."
592,Bot,Bot,What is a computer program capable of performing repetitive tasks called?,A bot is a computer program capable of performing repetitive tasks.
593,Internet de las Cosas (IoT),Internet of Things (IoT),Ahmedou Ould-Abdallah looks at what technology?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) is changing our lives."
594,Grafo,Grafo,Graph theory is a branch of mathematics that deals with the structure of data?,Graph theory is a branch of mathematics that deals with the structure of data.
595,Aprendizaje automático,Automatic learning,What type of learning can be categorized into?,"They can be grouped into: Supervised, Unsupervised, Semi-supervised."
596,Big data,Big data,What revolution does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution."
597,Internet de las Cosas (IoT),Internet of Things (IoT),What does Ahmedou Ould-Abdallah call the internet?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things is changing the way we live."
598,Big data,Big data,What type of challenges does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at some of the big data challenges facing the industry."
599,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning wherein a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning wherein a decision made by an algorithm is followed by a reinforcement (positive or negative).
600,Big data,Big data,What type of revolution does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution in Africa."
601,Prolog,Prologue,In what part of the text will we learn how to solve a factorial?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in Prolog.
602,Turing completo,Turing completo,What is the term for a system that has computing power equivalent to the Universal Turing Machine?,A Turing Complete system is one that has a computing power equivalent to the Universal Turing Machine.
603,Sobreajuste,Overadjustment,What does Ahmed Rashid talk about in his letters to African journalists?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in computer science."
604,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local)."
605,Metadatos,Metadata,What type of data is stored in the database?,
606,Metaverso,Metaverse,What does Farai Sevenzo look at the future of?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at the future of metaverses."
607,Smart data,Smart data,What type of data is big data?,There are two main types of data: smart and big.
608,Internet de las Cosas (IoT),Internet of Things (IoT),What technology is changing the way we live?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things is changing the way we live."
609,Reglas de asociación,Rules of association,A set of what can be used to classify objects in a data set?,Association rules are a set of rules that can be used to classify objects in a data set.
610,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private or local)."
611,Bot,Bot,What is a computer program that can perform repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet or simulates the behaviour that a person would have, doing the same thing but automatically."
612,Función Hash,Hash function,What is another term for a mathematical function that transforms a set of data into an alphanumeric code of fixed length?,A Hash Function or Summary Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length.
613,Turing completo,Turing completo,What system has a computational power equivalent to the Universal Turing machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing machine.
614,Árbol de decisión,Decision tree,What does Ahmed Rashid look at the hierarchy of the human mind?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the hierarchy of the human mind."
615,Máquina de Turing,Turing Machine,What is a formal model of computation capable of performing any computation?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of performing this theoretical model) according to its complexity.
616,Reglas de asociación,Rules of association,What are rules that can be used to classify data?,Association rules are a set of rules that can be used to classify data.
617,Sobreajuste,Overadjustment,What problem does Ahmed Rashid look at in computer science?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the problem of ""overfitting"" in computer science."
618,Árbol de decisión,Decision tree,What does Ahmed Rashid look at in his letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of the tree."
619,Turing completo,Turing completo,What type of system has a computing power equivalent to the Universal Turing Machine?,A Turing Complete system is one that has a computing power equivalent to the Universal Turing Machine.
620,Función Hash,Hash function,What is the mathematical function that transforms a set of data into anumeric code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into anumeric code of fixed length.
621,Reglas de asociación,Rules of association,What is a set of rules that govern the classification of objects in a data set?,Association rules are a set of rules that govern the classification of objects in a data set.
622,Modelos generativos,Generative models,What is an important part of artificial intelligence?,Generative models are an important part of artificial intelligence.
623,Realidad aumentada,Augmented reality,What is AR?,Augmented Reality (AR) and Virtual Reality (VR) are two of the newest technologies in the world of technology.
624,Función Hash,Hash function,What is another name for a mathematical function that transforms a set of data into a code of fixed length?,A Hash Function or Summary Function is a mathematical function that transforms a set of data into a code of fixed length.
625,Sobreajuste,Overadjustment,"What does Ahmed Rashid call the ""overfitting"" of artificial intelligence?","In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in artificial intelligence (AI)."
626,Internet de las Cosas (IoT),Internet of Things (IoT),What is changing the way we live?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things (IoT) is changing the way we live."
627,Variables dummy,Variables dummy,What type of variable is created when the original variables cannot be used?,A Dummy Variable is a variable that is created when the original variables cannot be used.
628,Ciencia de datos,Data science,What term has gained popularity in the last few years?,The term Data Science has been gaining popularity in recent years.
629,Smart data,Smart data,Big data and what other type of data are there?,There are two main types of data: big data and smart data.
630,Modelos generativos,Generative models,What type of model is an important part of machine learning?,Generative models are an important part of machine learning.
631,Turing completo,Turing completo,What system has a computational power equivalent to the Universal Turing Machines?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing Machines.
632,Reglas de asociación,Rules of association,What is a set of rules that govern the classification of data?,Association rules are a set of rules that govern the classification of data.
633,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists:,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists:"
634,Aprendizaje federado,Federated learning,"What is a technique that allows an algorithm to be trained in a way, using its own data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private or local)."
635,Computación Ecológica,Green Computing,What report did Research and Markets add to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing"" report to its offering."
636,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data but only sharing it with other users?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), but only shares it with other users."
637,Big data,Big data,What does Ahmed Rashid explain why it is important?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid explains why big data is so important."
638,Grafo,Grafo,Graph theory is a branch of computer science that deals with data structures?,Graph theory is a branch of computer science that deals with data structures.
639,Sobreajuste,Overadjustment,What does Ahmed Rashid look at in his series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in machine learning."
640,Internet de las Cosas (IoT),Internet of Things (IoT),Farai Sevenzo looks at what technology that is changing the way we live and work?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things (IoT) is changing the way we live and work."
641,Tabla Hash,Hash Table,"What is a data structure that relates a value called ""key"" to one or more other elements?","A Hash Table is a data structure that relates a value called ""key"" to one or more other element."
642,Turing completo,Turing completo,What is a system that has a computational power equivalent to the Universal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing Machine.
643,Función Hash,Hash function,What is a mathematical function that transforms a set of data into a code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into a code of fixed length.
644,Prolog,Prologue,In what program will I show you how to solve a factorial?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in PROLOG.
645,Internet de las Cosas (IoT),Internet of Things (IoT),What does Ahmedou Ould-Abdallah look at?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) could change the way we live."
646,Internet de las Cosas (IoT),Internet of Things (IoT),What technology is changing our lives?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) is changing our lives."
647,Sugar code,Sugar code,What does Ahmedou Ould-Abdallah look at in his letters?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the meaning of sugar."
648,Metaverso,Metaverse,What does Farai Sevenzo look at the future of?,"In our series of letters from African journalists, filmmaker and columnist Farai Sevenzo looks at the future of metaverses."
649,Modelos generativos,Generative models,What type of models are an important part of artificial intelligence?,"Generative models are an important part of artificial intelligence, and their use is growing."
650,Big data,Big data,What issue does Ahmed Rashid look at in his series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at some of the big data issues facing the continent."
651,Grafo,Grafo,Graph theory is a branch of mathematics that deals with the relationship between data and people.,Graph theory is a branch of mathematics that deals with the relationship between data and people.
652,Realidad aumentada,Augmented reality,What is another name for AR?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular technologies in the world of technology.
653,Variables dummy,Variables dummy,What is a variable that is created when the original variable cannot be used?,"A Dummy Variable is a variable that is created when the original variable cannot be used, such as a categorical variable."
654,Autoencoder,Autoencoder,What is a particular type of artificial neural network?,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoder
655,Big data,Big data,What revolution is Ahmed Rashid looking at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution and how it is changing our world."
656,Tabla Hash,Hash Table,"What is a data structure that relates a value called ""key"" to one or more other elements?","A Hash Table is a data structure that relates avalue called ""key"" to one or more other elements."
657,Reglas de asociación,Rules of association,What are the rules that govern the classification of data?,Association rules are a set of rules that govern the classification of data.
658,Árbol,Tree,In this class we will learn how to use what to solve some common problems?,In this class we are going to learn how to use a tree to solve some common problems.
659,Modelo,Model,"In this paper, we show how to train an artificial intelligence (AI) model that can predict the outcome of a clinical trial?","In this paper, we show how to train an artificial intelligence (AI) model that can predict the outcome of a clinical trial."
660,Xenobot,Xenobot,"What is the name of the living robot created at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a xenobot."
661,Turing completo,Turing completo,What system has a computational power equal to the Universal Turing Machine?,A Turing Complete system is one that has a computational power equal to the Universal Turing Machine.
662,Big data,Big data,Ahmed Rashid looks at some of the issues facing Africa?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at some of the big data issues facing Africa."
663,Variables dummy,Variables dummy,What is a variable called that is created when the original variable cannot be used?,A Dummy Variable is a variable that is created when the original variable cannot be used.
664,Blockchain,Blockchain,What is a system for digital transfer based on the distribution of information in several independent computers that register and validate information?,"Blockchain is a system for digital transfer based on the distribution of information in several independent computers that register and validate such information, eliminating intermediaries."
665,Bot,Bot,What is a computer program capable of performing repetitive tasks?,A bot is a computer program capable of performing repetitive tasks.
666,Computación Ecológica,Green Computing,What report has Research and Markets added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global...) has announced the addition of the ""Green Computing"" report to their offering."
667,Autoencoder,Autoencoder,What is a particular type of artificial neural network called?,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoder
668,Máquina de Turing,Turing Machine,What is a formal model of computation capable of performing any computation?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of performing this theoretical model).
669,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data and local data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private) and local."
670,Realidad aumentada,Augmented reality,What does AR stand for?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular technologies in the world today.
671,Test de Turing,Test the Turing,What does Ahmed Rashid look at in a series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the Turing Test."
672,Test de Turing,Test the Turing,What test has DeepMind passed for the first time?,An artificial intelligence (AI) called DeepMind has passed the Turing Test for the first time.
673,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are two types of data structures used in the Blockchain technology?,Hash Trees and Merkle Trees are two types of data structures used in the Blockchain technology.
674,Modelo,Model,"In this paper, we show how to train an AI model that can predict the likelihood of a given outcome?","In this paper, we show how to train an artificial intelligence (AI) model that can predict the likelihood of a given outcome."
675,Modelos generativos,Generative models,What is an important part of machine learning?,Generative models are an important part of machine learning.
676,Sugar code,Sugar code,What do you learn in this tutorial?,"In this tutorial, you will learn about sugar coding."
677,Aprendizaje federado,Federated learning,What is a technique that allows to train an algorithm in a way?,"Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), and only shares it with other users."
678,Árbol de Merkle,Árbol de Merkle,What is another name for Merkle Trees?,Hash Trees and Merkle Trees are two types of data structures used in the Blockchain.
679,Computación Ecológica,Green Computing,What is the name of the report that Research and Markets has added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing-research) has announced the addition of the ""Green Computing - Research and Markets"" report to their offering."
680,Internet de las Cosas (IoT),Internet of Things (IoT),What does Ahmedou Ould-Abdallah look at in a series of letters?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) could change the way we live."
681,Autoencoder,Autoencoder,What is a type of artificial neural network used to learn encodings from unlabeled data?,Autoencoders are a type of artificial neural network that are used to learn encodings from unlabeled data.
682,Sugar code,Sugar code,"In this tutorial, you will learn what?","In this tutorial, you will learn about sugar coding."
683,Metaverso,Metaverse,Ahmed Rashid looks at the future of what?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the future of metaverses."
684,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning where a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement (positive or negative).
685,Test de Turing,Test the Turing,What test did DeepMind pass for the first time?,"An artificial intelligence (AI) system called DeepMind has passed the Turing Test for the first time, the BBC reports."
686,Variables dummy,Variables dummy,What is a Variable called that is created when the original Variable cannot be used?,A Dummy Variable is a variable that is created when the original Variable cannot be used.
687,Agente inteligente,Intelligent agent,There are many different types of what type of agent?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one"
688,Computación Ecológica,Green Computing,What is the name of the report that Research and Markets has added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the "" Green Computing - Research and Markets"" report to their offering."
689,Internet de las Cosas (IoT),Internet of Things (IoT),Farai Sevenzo looks at what technology that is changing the way we live?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things (IoT) is changing the way we live."
690,Turing completo,Turing completo,What is a system called that has a computational power equivalent to the Universal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing Machine.
691,Xenobot,Xenobot,"What is the name of the living robot created at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot, a Xenobot."
692,Grafo,Grafo,Graph theory is a branch of mathematics that deals with the structure of data.,Graph theory is a branch of mathematics that deals with the structure of data.
693,Prolog,Prologue,In what language will I show you how to solve a factorial with two Facts and a Rule?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in the Prolog language.
694,Función Hash,Hash function,What is a mathematical function that transforms a set of data into a fixed length alphanumeric code?,A Hash Function is a mathematical function that transforms a set of data into a alphanumeric code of fixed length.
695,Unidad de Procesamiento Gráfico (GPU),Graphics Processing Unit (GPU),What is a piece of computer equipment used for processing data called?,A graphics processing unit (GPU) is a piece of computer equipment that is used for processing data.
696,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement (positive or negative)?,Reinforcement learning is a type of machine learning whereby a decision made by a algorithm is followed by a reinforcement (positive or negative).
697,Función Hash,Hash function,What is a mathematical function that transforms a set of data into an alphanumeric code of fixed length?,A Hash Function or Summary Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length.
698,Modelo,Model,What do we train to predict the likelihood of a given outcome?,"In this paper, we show how to train an artificial intelligence (AI) model to predict the likelihood of a given outcome."
699,Aprendizaje automático,Automatic learning,What branch of AI allows a computer to learn based on examples?,Machine learning is a branch within AI that allows a computer to learn based on examples.
700,Árbol de decisión,Decision tree,What does Ahmed Rashid look at in his letters to African journalists?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of decisions."
701,Computación Ecológica,Green Computing,What report did Research and Markets add to its offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing"" report to its offering."
702,Tabla Hash,Hash Table,What is a data structure that relates a value called 'key' to one or more elements?,"A Hash Table is a data structure that relates a value called ""key"" to one or more element."
703,Turing completo,Turing completo,What is a system that has a computational power equivalent to the Universal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing Machine...
704,Agente inteligente,Intelligent agent,What type of agent has one thing in common?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all have one thing in common - they all have one thing in common - they all have"
